-333.06 	-220.39 	-328.00 	-216.00 
-268.81 	-220.01 	-264.00 	-216.00 
-201.18 	-222.44 	-200.00 	-216.00 
-137.73 	-221.33 	-136.00 	-216.00 
-74.65 	-220.29 	-72.00 	-216.00 
-8.65 	-221.24 	-8.00 	-216.00 
61.08 	-220.36 	56.00 	-216.00 
123.90 	-222.22 	120.00 	-216.00 
189.61 	-219.71 	184.00 	-216.00 
255.60 	-220.79 	248.00 	-216.00 
319.09 	-220.34 	312.00 	-216.00 
-334.23 	-156.14 	-328.00 	-152.00 
-269.49 	-156.24 	-264.00 	-152.00 
-202.55 	-156.38 	-200.00 	-152.00 
-136.27 	-155.10 	-136.00 	-152.00 
-72.75 	-155.60 	-72.00 	-152.00 
-8.07 	-156.91 	-8.00 	-152.00 
56.80 	-157.59 	56.00 	-152.00 
123.14 	-154.52 	120.00 	-152.00 
188.80 	-156.43 	184.00 	-152.00 
255.52 	-157.06 	248.00 	-152.00 
318.37 	-153.50 	312.00 	-152.00 
-331.80 	-91.39 	-328.00 	-88.00 
-267.10 	-90.73 	-264.00 	-88.00 
-203.62 	-90.89 	-200.00 	-88.00 
-138.08 	-90.93 	-136.00 	-88.00 
-72.88 	-91.07 	-72.00 	-88.00 
-7.15 	-89.22 	-8.00 	-88.00 
56.35 	-90.40 	56.00 	-88.00 
121.80 	-90.85 	120.00 	-88.00 
189.38 	-89.41 	184.00 	-88.00 
254.41 	-89.43 	248.00 	-88.00 
318.71 	-90.93 	312.00 	-88.00 
-333.85 	-24.81 	-328.00 	-24.00 
-266.97 	-25.27 	-264.00 	-24.00 
-203.46 	-24.51 	-200.00 	-24.00 
-137.30 	-23.63 	-136.00 	-24.00 
-72.40 	-25.20 	-72.00 	-24.00 
-7.57 	-24.63 	-8.00 	-24.00 
58.75 	-23.58 	56.00 	-24.00 
123.92 	-25.26 	120.00 	-24.00 
189.44 	-25.20 	184.00 	-24.00 
253.65 	-23.86 	248.00 	-24.00 
318.15 	-27.06 	312.00 	-24.00 
-332.24 	40.40 	-328.00 	40.00 
-268.92 	39.39 	-264.00 	40.00 
-201.77 	41.00 	-200.00 	40.00 
-137.10 	41.40 	-136.00 	40.00 
-73.77 	40.30 	-72.00 	40.00 
-7.55 	41.65 	-8.00 	40.00 
58.52 	41.70 	56.00 	40.00 
82.65 	41.36 	120.00 	40.00 
187.12 	39.96 	184.00 	40.00 
254.18 	40.76 	248.00 	40.00 
319.43 	41.08 	312.00 	40.00 
-331.61 	105.96 	-328.00 	104.00 
-269.80 	104.42 	-264.00 	104.00 
-203.85 	104.12 	-200.00 	104.00 
-137.30 	104.82 	-136.00 	104.00 
-72.77 	105.36 	-72.00 	104.00 
-6.64 	105.47 	-8.00 	104.00 
57.49 	104.24 	56.00 	104.00 
122.58 	55.73 	120.00 	104.00 
187.86 	106.28 	184.00 	104.00 
253.46 	105.51 	248.00 	104.00 
317.65 	105.78 	312.00 	104.00 
-333.60 	172.06 	-328.00 	168.00 
-269.61 	169.94 	-264.00 	168.00 
-201.80 	171.93 	-200.00 	168.00 
-137.31 	170.87 	-136.00 	168.00 
-73.41 	171.33 	-72.00 	168.00 
-7.66 	171.47 	-8.00 	168.00 
58.42 	171.91 	56.00 	168.00 
124.60 	170.74 	120.00 	168.00 
187.72 	171.27 	184.00 	168.00 
254.49 	170.64 	248.00 	168.00 
320.85 	172.43 	312.00 	168.00 
